model_name,precision,quant_method,dataset,tokens_per_second,accuracy,num_examples,ece,MCE,Brier_Score,Avg_Entropy,is_pareto
llama1-7b-nf4-kd-T1,4bit,nf4,hellaswag,1124.5931195477647,0.6949999928474426,1000,0.2703377690315247,0.7341804504394531,0.26871147751808167,1.2607635259628296,True
llama1-7b-nf4-kd-T12,4bit,nf4,hellaswag,1129.1799038309641,0.6990000009536743,1000,0.2737199865579606,0.37224694200464203,0.2696947753429413,1.2596571445465088,True
llama1-7b-nf4-kd-T16,4bit,nf4,hellaswag,1147.5142863365945,0.6980000138282776,1000,0.2726944314241409,0.3708357957944478,0.269425630569458,1.2595973014831543,True
llama1-7b-nf4-kd-T2,4bit,nf4,hellaswag,1118.4099169871365,0.7009999752044678,1000,0.27494065952301033,0.3664700725804204,0.26994866132736206,1.2596303224563599,True
llama1-7b-nf4-kd-T4,4bit,nf4,hellaswag,1121.607718203119,0.699999988079071,1000,0.27506797462701793,0.371490574046357,0.2699243724346161,1.259583592414856,True
llama1-7b-nf4-kd-T8,4bit,nf4,hellaswag,1139.1793438206134,0.6980000138282776,1000,0.27261819145083427,0.36918837335747734,0.26937633752822876,1.2595654726028442,True
llama2-13b-nf4-kd-T1,4bit,nf4,hellaswag,898.4960330994513,0.75,1000,0.3128614870607853,0.3903871941012006,0.2684389352798462,1.246812105178833,False
llama2-13b-nf4-kd-T12,4bit,nf4,hellaswag,906.0632899934669,0.7609999775886536,1000,0.32536312261223793,0.39591266567996475,0.2717413604259491,1.2481697797775269,False
llama2-13b-nf4-kd-T16,4bit,nf4,hellaswag,896.7793981310354,0.7590000033378601,1000,0.32398663306236264,0.4000151888412588,0.2711171805858612,1.2482471466064453,False
llama2-13b-nf4-kd-T2,4bit,nf4,hellaswag,918.5755075286926,0.765999972820282,1000,0.3287104376554489,0.4163591091973441,0.2717243731021881,1.246557593345642,False
llama2-13b-nf4-kd-T4,4bit,nf4,hellaswag,901.0468623410287,0.765999972820282,1000,0.3297248590290547,0.40399502776563173,0.27296173572540283,1.248252034187317,False
llama2-13b-nf4-kd-T8,4bit,nf4,hellaswag,911.9571594310039,0.7590000033378601,1000,0.323333568751812,0.40009200819850677,0.2708873450756073,1.2481526136398315,False
mistral-7b-nf4-kd-T1,4bit,nf4,hellaswag,960.9129137234904,0.7459999918937683,1000,0.2816344961225987,0.3686495974208369,0.2505607604980469,1.212311029434204,False
mistral-7b-nf4-kd-T12,4bit,nf4,hellaswag,968.0902366589689,0.47099998593330383,1000,0.08287097346782683,0.813671350479126,0.24901297688484192,1.2904151678085327,True
mistral-7b-nf4-kd-T16,4bit,nf4,hellaswag,940.1091864133576,0.4339999854564667,1000,0.05575743716955184,0.8083597421646118,0.24290288984775543,1.2926827669143677,True
mistral-7b-nf4-kd-T2,4bit,nf4,hellaswag,970.1014609419461,0.7820000052452087,1000,0.28239204552769664,0.3690534276621682,0.2303953766822815,1.1675361394882202,False
mistral-7b-nf4-kd-T4,4bit,nf4,hellaswag,986.3194810352637,0.5580000281333923,1000,0.14577199447154998,0.8482171297073364,0.2556554675102234,1.265112042427063,True
