model_name,precision,quant_method,dataset,tokens_per_second,accuracy,num_examples,ece,MCE,Brier_Score,Avg_Entropy,is_pareto
llama1-7b-nf4-kd-T1,4bit,nf4,triviaqa,26.64316213248485,0.574999988079071,1000,0.056539569675922406,0.7372645735740662,0.24106496572494507,1.6559574604034424,False
llama1-7b-nf4-kd-T12,4bit,nf4,triviaqa,26.77790279411545,0.5820000171661377,1000,0.05159153732657433,0.13160783880286753,0.2422344833612442,1.550762414932251,True
llama1-7b-nf4-kd-T16,4bit,nf4,triviaqa,27.19580962049985,0.5809999704360962,1000,0.0615323444902897,0.13813990851243338,0.24288122355937958,1.5544991493225098,False
llama1-7b-nf4-kd-T2,4bit,nf4,triviaqa,26.62394693899783,0.574999988079071,1000,0.052575651735067376,0.14879743491902064,0.2403700351715088,1.6156518459320068,False
llama1-7b-nf4-kd-T4,4bit,nf4,triviaqa,26.468148238739165,0.5789999961853027,1000,0.05639388528466222,0.2571708858013153,0.24328793585300446,1.557966947555542,False
llama1-7b-nf4-kd-T8,4bit,nf4,triviaqa,27.19662062501386,0.5820000171661377,1000,0.05455826008319856,0.1273980182270671,0.24366091191768646,1.5486602783203125,True
llama2-13b-nf4-kd-T1,4bit,nf4,triviaqa,21.31982367629948,0.7360000014305115,1000,0.16153621217608452,0.9425590634346008,0.22633038461208344,1.5504530668258667,False
llama2-13b-nf4-kd-T12,4bit,nf4,triviaqa,21.530295556084933,0.7459999918937683,1000,0.1729898521602154,0.9456791877746582,0.2230033576488495,1.520159125328064,False
llama2-13b-nf4-kd-T16,4bit,nf4,triviaqa,21.263892686881903,0.7450000047683716,1000,0.16537038989365102,0.9463046193122864,0.21962639689445496,1.5179541110992432,False
llama2-13b-nf4-kd-T2,4bit,nf4,triviaqa,21.991681908181224,0.7390000224113464,1000,0.16054813987016675,0.9478795131047567,0.22561679780483246,1.4999828338623047,False
llama2-13b-nf4-kd-T4,4bit,nf4,triviaqa,21.394307318632766,0.7450000047683716,1000,0.17536800637841224,0.9460748235384623,0.22527076303958893,1.5690486431121826,False
